"zipcode","city","list","list_number"
1460,"Ittre","PACTE",
1320,"Beauvechain","I.C.",
7500,"Tournai","ECOLO",
7333,"Saint-Ghislain","Osons !",
7000,"Mons","PS",
1210,"Saint-Josse-Ten-Noode","LISTE COMMUNALE",13
4130,"Esneux","Défi",
7900,"Leuze-en-Hainaut","ECOLO",
,"Braine-l'Alleud","L.Bourgmestre",
7730,"Estaimpuis","ECOLO",
7830,"Silly","DéFI",
6987,"Rendeux","G.C.",
6200,"Châtelet","AGIR",
1210,"Saint-Josse-Ten-Noode","N-VA",8
1140,"Evere","ECOLO-GROEN",2
1040,"Etterbeek","Alternative CDH",1
4250,"Geer","GE",
1050,"Ixelles","DéFI",4
7390,"Quaregnon","Ecolo-Vrai",
4120,"Neupré","ECOLO",
6900,"Marche-en-Famenne","ECOLO",
1160,"Auderghem","LISTE CITOYENNE 1187",1
5540,"Hastière","EMC",
4170,"Comblain-au-Pont","IC",
1325,"Chaumont-Gistoux","ECOLO",
4350,"Remicourt","PP",
6927,"Tellin","ERC",
6929,"Daverdisse","COMM'1ACTION",
,"Court-Saint-Etienne","Liste Mayeur",
6220,"Fleurus","DéFI",
4500,"Huy","PTB",
1190,"Forest","Chrétien",14
4218,"Héron","Ent.Citoyenne",
7911,"Frasnes-lez-Anvaing","ECOLO",
1360,"Perwez","DRC+",
4877,"Olne","POUR OLNE",
5300,"Andenne","TS",
6767,"Rouvroy","GO",
4140,"Sprimont","e-PS",
4000,"Liège","VERT ARDENT",
4630,"Soumagne","PS-ID",
1083,"Ganshoren","LB-LISTE BOURGMESTRE",12
4130,"Esneux","ECOLO",
6590,"Momignies","MR-PS",
6440,"Froidchapelle","AC",
1160,"Auderghem","LISTE CITOYENNE 1185",1
1000,"Bruxelles","SALEM",17
5330,"Assesse","OSER",
,,"OPEN MR",
4684,"Oupeye","ENGAGÉS POUR",
1090,"Jette","Les Démocrates",13
7041,"Quévy","PS",
1081,"Koekelberg","Humaniste",1
1090,"Jette","ECOLO-GROEN",2
7041,"Quévy","MR+",
1190,"Forest","MR",12
5500,"Dinant","ID!",
4400,"Flémalle","RCC",
4100,"Seraing","ECOLO",
5150,"Floreffe","DéFI",
5300,"Andenne","AD&N",
4607,"Dalhem","Maïeur",
7333,"Saint-Ghislain","PS",
4610,"Beyne-Heusay","Ensemble",
4860,"Pepinster","PEPIN",
6890,"Libin","ViAV",
5575,"Gedinne","HORIZON 2018",
1160,"Auderghem","LISTE CITOYENNE 1169",1
7500,"Tournai","Oxygène",
6540,"Lobbes","LOB2.0",
4820,"Dison","Vivre Dison",
1390,"Grez-Doiceau","AVEC VOUS",
5590,"Ciney","ECOLO",
5190,"Jemeppe-sur-Sambre","PepS",
4620,"Fléron","PP",
5070,"Fosses-la-Ville","PS",
6530,"Thuin","PS",
6860,"Léglise","POURQUOI PAS",
4960,"Malmedy","PS PLUS",
5670,"Viroinval","V. Autrement",
1160,"Auderghem","Ecolo-Groen",2
6540,"Lobbes","PS",
1160,"Auderghem","N-VA",8
6110,"Montigny-le-Tilleul","DéFI",
5630,"Cerfontaine","CERF+",
6150,"Anderlues","WI",
6567,"Merbes-le-Château","PS",
6120,"Ham-sur-Heure-Nalinnes","Cap Communal",
1160,"Auderghem","LISTE CITOYENNE 1173",1
4460,"Grâce-Hollogne","PS",
6929,"Daverdisse","POUR !",
4317,"Faimes","ICGF",
7100,"La Louvière","ECOLO",
1000,"Bruxelles","ECOLO-GROEN",2
7000,"Mons","PP",
5377,"Somme-Leuze","UC",
7780,"Comines-Warneton","ACTION",
,"Celles (lez-Tournai)","OBJEC.-CITOYEN",
1160,"Auderghem","LISTE CITOYENNE 1188",1
1495,"Villers-la-Ville","MR",
6900,"Marche-en-Famenne","DéFI",
6110,"Montigny-le-Tilleul","OSONS!",
4400,"Flémalle","PTB",
7860,"Lessines","SOCI@LIBRE",
1080,"Molenbeek-Saint-Jean","N-VA",8
4480,"Engis","EngiSolidair",
1160,"Auderghem","PP Parti Populaire",14
4000,"Liège","MPE",
5330,"Assesse","Oxygène",
1030,"Schaerbeek","VLAAMS BELANG",3
1495,"Villers-la-Ville","PP",
6470,"Sivry-Rance","MIL",
4430,"Ans","MR-IC",
4900,"Spa","MR",
,,"DéFI pour Woluwe 1150",
5550,"Vresse-sur-Semois","CONFIANCE",
,"Celles (lez-Tournai)","Cel'Avenir",
4540,"Amay","AMAY.PLUS",
1200,"Woluwe-Saint-Lambert","MR+",12
7340,"Colfontaine","LA DROITE",
1060,"Saint-Gilles","ECOLO-GROEN",2
4040,"Herstal","PS-H",
4480,"Engis","MCER",
7380,"Quiévrain","UPQ",
1160,"Auderghem","PS",5
5000,"Namur","Oxygène",
1330,"Rixensart","NAP-MR",
1160,"Auderghem","LISTE CITOYENNE 1183",1
6460,"Chimay","PP",
4350,"Remicourt","VOUS !",
4630,"Soumagne","Citoyen Go ",
7060,"Soignies","ECOLO",
6820,"Florenville","AC",
1170,"Watermael-Boitsfort","ECOLO-GROEN",2
1340,"Ottignies-Louvain-la-Neuve","AVENIR",
7800,"Ath","PS",
7070,"Le Roeulx","IC",
4890,"Thimister-Clermont","EIC",
6500,"Beaumont","PP",
4100,"Seraing","DéFI",
4470,"Saint-Georges-sur-Meuse","PS",
1190,"Forest","LISTE DU BOURGMESTRE",5
6230,"Pont-à-Celles","IC",
5150,"Floreffe","ECOLO",
6000,"Charleroi","NWA-NATION",
4280,"Hannut","ECOLO",
,"Berchem","VLAAMS BELANG",3
6720,"Habay","ENS.DEMAIN",
4577,"Modave","OSE",
5600,"Philippeville","LA DROITE",
1180,"Uccle","CITOYEN D'EUROPE M3E",14
6760,"Virton","ECOLO+",
7333,"Saint-Ghislain","MR & Citoyens",
4367,"Crisnée","ECOLO",
4610,"Beyne-Heusay","CDH-ECOLO+",
5640,"Mettet","Oxygène",
6110,"Montigny-le-Tilleul","ECOLO",
7100,"La Louvière","DéFI",
1340,"Ottignies-Louvain-la-Neuve","PS",
,"Erezée","IC",
4620,"Fléron","PS",
1150,"Woluwe-Saint-Pierre","ECOLO-GROEN",2
4577,"Modave","UC",
5190,"Jemeppe-sur-Sambre","JEM",
1090,"Jette","LBJETTE",1
5000,"Namur","ECOLO",
4260,"Braives","DéFI",
7180,"Seneffe","LB",
7130,"Binche","MR-CI",
4460,"Grâce-Hollogne","PP",
6560,"Erquelinnes","UC",
6760,"Virton","ENSEMBLE EA",
4340,"Awans","Vers Demain",
5350,"Ohey","ECOLO",
1330,"Rixensart","SolidaRix",
6660,"Houffalize","Houffalize +",
6800,"Libramont-Chevigny","LIBR envol",
5330,"Assesse","ECOLO",
4820,"Dison","ECOLO",
6200,"Châtelet","LA DROITE",
4000,"Liège","WI",
5350,"Ohey","Plus d'Echo",
5030,"Gembloux","ECOLO",
6530,"Thuin","MR",
5340,"Gesves","ECOLO",
6720,"Habay","Vouloir",
4577,"Modave","POM",
1460,"Ittre","E.P.I.",
6990,"Hotton","H12.O",
6567,"Merbes-le-Château","MR",
1200,"Woluwe-Saint-Lambert","Liste du Bourgmestre",4
1470,"Genappe","ENSEMBLE",
7080,"Frameries","Be Frameries",
4630,"Soumagne","Alternative",
7320,"Bernissart","ECOLO",
7333,"Saint-Ghislain","PP",
6927,"Tellin","LETSGO 18",
6990,"Hotton","UC",
4460,"Grâce-Hollogne","MR",
1460,"Ittre","MR",
7380,"Quiévrain","ECOLO",
6800,"Libramont-Chevigny","ECOLO",
6210,"Les Bons Villers","MR-IC",
6960,"Manhay","Avec Vous",
4140,"Sprimont","CDH",
5537,"Anhée","V.I.C.",
6680,"Sainte-Ode","CAP 2030",
6200,"Châtelet","POUR CHÂTELET",
7890,"Ellezelles","ECOLO",
1367,"Ramillies","IC",
,"Braine-l'Alleud","INT. BRAINOIS",
1470,"Genappe","#NAME?",
1400,"Nivelles","ECOLO",
1160,"Auderghem","Liste du Bourgmestre",4
5640,"Mettet","ECOLO",
6760,"Virton","IC+",
,"Berchem","LBR",13
7160,"Chapelle-lez-Herlaimont","PS",
7500,"Tournai","DéFI",
4347,"Fexhe-le-Haut-Clocher","ENVOL@FEXHE",
7387,"Honnelles","LISTE MAÏEUR",
5570,"Beauraing","EB",
1180,"Uccle","DéFI",4
7120,"Estinnes","EMC",
1160,"Auderghem","LISTE CITOYENNE 1164",1
4500,"Huy","DéFIpourHUY",
7090,"Braine-le-Comte","Ensemble",
5150,"Floreffe","RPF",
7870,"Lens","ECOLO",
6280,"Gerpinnes","HORIZONS",
5000,"Namur","NATION",
1000,"Bruxelles","LA DROITE",16
1160,"Auderghem","LISTE CITOYENNE 1180",1
7972,"Beloeil","Bel Elan",
7900,"Leuze-en-Hainaut","DéFI",
1160,"Auderghem","LISTE CITOYENNE 1172",1
4590,"Ouffet","EC",
7830,"Silly","ECOLO",
1050,"Ixelles","PTB*PVDA",9
7070,"Le Roeulx","Alternative",
7180,"Seneffe","ECOLO",
4500,"Huy","MR",
5300,"Andenne","PSD@",
6120,"Ham-sur-Heure-Nalinnes","MR",
4530,"Villers-le-Bouillet","ECOLO",
6150,"Anderlues","GAUCHE",
5620,"Florennes","ECOLO",
7950,"Chièvres","ECOLO",
1367,"Ramillies","ECOLO",
1190,"Forest","CDH",1
6840,"Neufchâteau","AGIR ENSEMBLE",
4850,"Plombières","@ctions",
6870,"Saint-Hubert","PluS",
4870,"Trooz","PP",
6000,"Charleroi","ECOLO",
6780,"Messancy","PS",
6730,"Tintigny","Commune en Vie",
1170,"Watermael-Boitsfort","PS-SP.A Cause Commune",5
4160,"Anthisnes","PP",
4800,"Verviers","DéFI",
7618,"Rumes","I C",
4540,"Amay","ECOLO",
7350,"Hensies","AGORA",
7300,"Boussu","RC",
7370,"Dour","AGORA",
1380,"Lasne","DéFI",
4920,"Aywaille","ECOLO",
4218,"Héron","ECOLO OuVert",
6671,"Gouvy","HORIZON NEUF",
5660,"Couvin","#PEP'S",
6940,"Durbuy","CHANGEONS !",
4877,"Olne","PS",
4500,"Huy","PP",
1000,"Bruxelles","N-VA",8
4537,"Verlaine","I.C.V",
5600,"Philippeville","MR",
4218,"Héron","LB",
5370,"Havelange","H2018",
7600,"Péruwelz","PS",
4000,"Liège","DéFI",
,"Saint-Nicolas (liège)","ECOLO",
1080,"Molenbeek-Saint-Jean","Groen",10
1160,"Auderghem","LISTE CITOYENNE 1189",1
4920,"Aywaille","Progrès",
1140,"Evere","PP Parti Populaire",15
1400,"Nivelles","LB",
4650,"Herve","HDM",
4620,"Fléron","AGIR",
1320,"Beauvechain","NENA",
4480,"Engis","Parti Social",
7340,"Colfontaine","PP",
4910,"Theux","ECOLO",
1325,"Chaumont-Gistoux","ARC",
5170,"Profondeville","ECOLO",
7890,"Ellezelles","LB",
6630,"Martelange","U.C.",
7940,"Brugelette","C.S.V.",
6120,"Ham-sur-Heure-Nalinnes","VivrEnsemble",
1310,"La Hulpe","LC",
6500,"Beaumont","UNI",
4830,"Limbourg","LDM",
6440,"Froidchapelle","DéFI",
7000,"Mons","AGORA - CDH",
1470,"Genappe","CréonsDemain",
,"Saint-Nicolas (liège)","Saint-Nicolas Plus",
6860,"Léglise","ENSEMBLE",
4920,"Aywaille","STOP & CHANGE",
7130,"Binche","Chrétien",
6780,"Messancy","NUC",
7972,"Beloeil","CAP BELOEIL",
7830,"Silly","LB",
7370,"Dour","LA DROITE",
6880,"Bertrix","ENSEMBLE",
1160,"Auderghem","LISTE CITOYENNE 1162",1
5170,"Profondeville","PEPS",
5370,"Havelange","ECOLO",
7340,"Colfontaine","MR",
7000,"Mons","LA DROITE",
1330,"Rixensart","DéFI",
7880,"Flobecq","FLOBECQ-VIVA",
1000,"Bruxelles","PLAN B",13
5500,"Dinant","JEXISTE",
1060,"Saint-Gilles","MR",12
,"Fontaine-l'Evêque","Mieux Demain",
1210,"Saint-Josse-Ten-Noode","MR Open Vld",12
4360,"Oreye","PP",
4850,"Plombières","URP",
7070,"Le Roeulx","ECOLO",
5363,"Hamois","OXYGÈNE",
5540,"Hastière","EM",
,"Celles (lez-Tournai)","U. COMMUNALE",
1440,"Braine-le-Château","RB",
1160,"Auderghem","LISTE CITOYENNE 1171",1
4570,"Marchin","PS-IC",
6230,"Pont-à-Celles","ECOLO",
4880,"Aubel","AUBELCITOYEN",
5330,"Assesse","@ROC",
1390,"Grez-Doiceau","A.C#BOURGMESTR",
6560,"Erquelinnes","IC",
6927,"Tellin","Vivrensemble",
6980,"La Roche-en-Ardenne","Pour Vous",
4130,"Esneux","pp",
7620,"Brunehaut","IC",
4900,"Spa","LHS",
4460,"Grâce-Hollogne","ULP",
7850,"Enghien","LB ECOLO",
7390,"Quaregnon","Citoyen",
5680,"Doische","ENSEMBLE",
6500,"Beaumont","ICI",
6671,"Gouvy","PROJET ACTION",
1140,"Evere","LISTE DU BOURGMESTRE",13
7640,"Antoing","PS",
5575,"Gedinne","GEDINNE 2018",
6887,"Herbeumont","Alternative",
1030,"Schaerbeek","PTB*PVDA",9
7700,"Mouscron","ECOLO",
1060,"Saint-Gilles","CDH + CD&V",1
4630,"Soumagne","ECOLO plus",
1495,"Villers-la-Ville","ENSEMBLE P. V.",
4630,"Soumagne","SOUM.DEMAIN",
7130,"Binche","UNION",
4910,"Theux","PS PLUS",
4837,"Baelen","POUR",
1081,"Koekelberg","LB",13
4860,"Pepinster","DEFI",
4100,"Seraing","WI",
6750,"Musson","Avançons Musson",
4040,"Herstal","PP",
6900,"Marche-en-Famenne","MaRche2018-MR",
7850,"Enghien","PS",
1080,"Molenbeek-Saint-Jean","ECOLO SAMEN",2
6240,"Farciennes","MR",
7090,"Braine-le-Comte","BRAINE",
7041,"Quévy","EDD",
4690,"Bassenge","Bassenge Demain",
4340,"Awans","LB",
4160,"Anthisnes","MR-CDH-IC",
6870,"Saint-Hubert","CAP 2018",
,"Meix-Devant-Virton","Réagir",
1360,"Perwez","Ensemble!",
1070,"Anderlecht","ECOLO_GROEN",2
1450,"Chastre","ECOLO",
7740,"Pecq","Pecq Avenir",
4470,"Saint-Georges-sur-Meuse","ENSEMBLE",
5500,"Dinant","Din.Autrement",
7860,"Lessines","OSER cdH",
6200,"Châtelet","MR",
4400,"Flémalle","PS",
1070,"Anderlecht","PS-sp.a-cdH",5
6460,"Chimay","CLE",
4040,"Herstal","MR",
