lastname,firstname,nickname,party,city_fr,city_nl,zipcode,cumuls_2017,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,cumuleo_url
Anaf,Hannes,x,sp.a,Turnhout,Turnhout,2300,14,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,,https://www.cumuleo.be/mandataire/9150-hannes-anaf.php
Anciaux,Jan,x,N-VA,Vilvorde,Vilvoorde,1800,13,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13645-jan-anciaux.php
Anciaux,Koenraad,Koen Anciaux,Open VLD,Malines,Mechelen,2800,15,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9149-koenraad-anciaux.php
Anciaux,Reinhilde,Hilde Anciaux,x,Machelen,Machelen,1830,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9503-reinhilde-anciaux.php
Anciaux,Roel,x,sp.a,Meise,Meise,1860,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9522-roel-anciaux.php
Ancion,Claude,x,MR,Sprimont,Sprimont,4140,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9147-claude-ancion.php
Ancion,Marc,x,MR,Jalhay,Jalhay,4845,2,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12809-marc-ancion.php
Ancion,Michel,x,cdH,Anhée,Anhée,5537,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9146-michel-ancion.php
Ancion,Paul,x,Ecolo,Seraing,Seraing,4100,6,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16432-paul-ancion.php
Ancion,Thierry,x,cdH,Fléron,Fléron,4620,8,oui,oui,oui,oui,oui,oui,oui,oui,,,,,,,https://www.cumuleo.be/mandataire/12157-thierry-ancion.php
André,Albert,x,PS,Stoumont,Stoumont,4987,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9144-albert-andre.php
André,Jacques,x,PS,Hastière,Hastière,5540,1,oui,oui,oui,oui,oui,oui,oui,oui,,,,,,,https://www.cumuleo.be/mandataire/12158-jacques-andre.php
André,Léon,x,x,La Roche-en-Ardenne,La Roche-en-Ardenne,6980,8,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12810-leon-andre.php
André,Marcel,x,PS,Beloeil,Beloeil,7972,8,oui,oui,oui,oui,oui,oui,,,,,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9143-marcel-andre.php
André,Yves,x,cdH,Mons,Bergen,7000,9,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13646-yves-andre.php
Andrianne,Bernadette,x,MR,Grâce-Hollogne,Grâce-Hollogne,4460,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13647-bernadette-andrianne.php
Andries,Christian,x,Open VLD,Wemmel,Wemmel,1780,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9138-christian-andries.php
Andries,Ivo,x,Open VLD,Lierre,Lier,2500,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9681-ivo-andries.php
Andry,Sylvie,Sylvie Andry-Servais,MR,Koekelberg,Koekelberg,1081,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9134-sylvie-andry.php
Annaert,Willem,Wim Annaert,x,Kontich,Kontich,2550,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13648-willem-annaert.php
Annemans,Gerolf,x,Vlaams Belang,Anvers,Antwerpen,2000,14,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/11444-gerolf-annemans.php
Anno,Inge,x,N-VA,Keerbergen,Keerbergen,3140,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13649-inge-anno.php
Annys,Franky,x,Open VLD,Middelkerke,Middelkerke,8430,14,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9129-franky-annys.php
Annys,Pablo,x,sp.a,Bruges,Brugge,8000,15,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13650-pablo-annys.php
Ansay,Françoise,x,Ecolo,Ohey,Ohey,5350,7,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12812-francoise-ansay.php
Anseeuw,Björn,x,N-VA,Ostende,Oostende,8400,7,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15605-bjorn-anseeuw.php
Anseeuw,Christine,x,sp.a,x,x,2000,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9127-christine-anseeuw.php
Anseeuw,Stéphanie,x,Open VLD,Coxyde,Koksijde,8670,12,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9125-stephanie-anseeuw.php
Anthoine,Albert,x,x,Estinnes,Estinnes,7120,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13652-albert-anthoine.php
