"id","city","zipcode"
462,"Beersel",1650
463,"Beersel",1650
464,"Beersel",1650
465,"Beersel",1650
466,"Beersel",1650
467,"Beersel",1650
468,"Beersel",1650
469,"Beersel",1650
470,"Beersel",1650
471,"Beersel",1650
472,"Begijnendijk",3130
473,"Begijnendijk",3130
474,"Begijnendijk",3130
475,"Begijnendijk",3130
476,"Begijnendijk",3130
477,"Begijnendijk",3130
478,"Begijnendijk",3130
479,"Begijnendijk",3130
480,"Begijnendijk",3130
481,"Begijnendijk",3130
482,"Bekkevoort",3460
483,"Bekkevoort",3460
484,"Bekkevoort",3460
485,"Bekkevoort",3460
486,"Bekkevoort",3460
487,"Bekkevoort",3460
488,"Bekkevoort",3460
489,"Bekkevoort",3460
490,"Bekkevoort",3460
491,"Bekkevoort",3460
492,"Beloeil",7972
493,"Beloeil",7972
494,"Beloeil",7972
495,"Beloeil",7972
496,"Beloeil",7972
497,"Beloeil",7972
498,"Beloeil",7972
499,"Beloeil",7972
500,"Berchem-Sainte-Agathe",1082
501,"Berchem-Sainte-Agathe",1082
502,"Berchem-Sainte-Agathe",1082
503,"Berchem-Sainte-Agathe",1082
504,"Berchem-Sainte-Agathe",1082
505,"Berchem-Sainte-Agathe",1082
506,"Berchem-Sainte-Agathe",1082
507,"Berchem-Sainte-Agathe",1082
508,"Berchem-Sainte-Agathe",1082
509,"Berchem-Sainte-Agathe",1082
510,"Berchem-Sainte-Agathe",1082
511,"Berchem-Sainte-Agathe",1082
512,"Berchem-Sainte-Agathe",1082
513,"Beringen",3580
514,"Beringen",3580
515,"Beringen",3580
516,"Beringen",3580
517,"Beringen",3580
518,"Beringen",3580
519,"Beringen",3580
520,"Beringen",3580
521,"Beringen",3580
522,"Beringen",3580
523,"Beringen",3580
524,"Beringen",3580
525,"Beringen",3580
526,"Beringen",3580
527,"Beringen",3580
528,"Beringen",3580
529,"Berlaar",2590
530,"Berlaar",2590
531,"Berlaar",2590
532,"Berlaar",2590
533,"Berlaar",2590
534,"Berlaar",2590
535,"Berlaar",2590
536,"Berlaar",2590
537,"Berlaar",2590
538,"Berlare",9290
539,"Berlare",9290
540,"Berlare",9290
541,"Berlare",9290
542,"Berlare",9290
543,"Berlare",9290
544,"Berlare",9290
545,"Berlare",9290
546,"Berlare",9290
547,"Berlare",9290
548,"Berloz",4257
549,"Berloz",4257
550,"Berloz",4257
551,"Berloz",4257
552,"Berloz",4257
553,"Bernissart",7320
554,"Bernissart",7320
555,"Bernissart",7320
556,"Bernissart",7320
557,"Bernissart",7320
558,"Bernissart",7320
559,"Bernissart",7320
560,"Bernissart",7320
561,"Bertem",3060
562,"Bertem",3060
563,"Bertem",3060
564,"Bertem",3060
565,"Bertem",3060
566,"Bertem",3060
567,"Bertem",3060
568,"Bertogne",6687
569,"Bertogne",6687
570,"Bertogne",6687
571,"Bertogne",6687
572,"Bertogne",6687
573,"Bertogne",6687
574,"Bertogne",6687
575,"Bertrix",6880
576,"Bertrix",6880
577,"Bertrix",6880
578,"Bertrix",6880
579,"Bertrix",6880
580,"Bertrix",6880
581,"Beveren",9120
582,"Beveren",9120
583,"Beveren",9120
584,"Beveren",9120
585,"Beveren",9120
586,"Beveren",9120
587,"Beveren",9120
588,"Beveren",9120
589,"Beveren",9120
590,"Beveren",9120
591,"Beveren",9120
592,"Beveren",9120
593,"Beveren",9120
594,"Beveren",9120
595,"Beveren",9120
596,"Beveren",9120
597,"Beveren",9120
598,"Beveren",9120
599,"Beveren",9120
600,"Beveren",9120
601,"Beyne-Heusay",4610
602,"Beyne-Heusay",4610
603,"Beyne-Heusay",4610
604,"Beyne-Heusay",4610
605,"Beyne-Heusay",4610
606,"Beyne-Heusay",4610
607,"Beyne-Heusay",4610
608,"Bierbeek",3360
609,"Bierbeek",3360
610,"Bierbeek",3360
611,"Bierbeek",3360
612,"Bierbeek",3360
613,"Bierbeek",3360
614,"Bierbeek",3360
615,"Bierbeek",3360
616,"Bierbeek",3360
617,"Bierbeek",3360
618,"Biévène",1547
619,"Biévène",1547
620,"Biévène",1547
621,"Biévène",1547
622,"Biévène",1547
623,"Biévène",1547
624,"Bièvre",5555
625,"Bièvre",5555
626,"Bièvre",5555
627,"Bièvre",5555
628,"Bièvre",5555
629,"Bièvre",5555
630,"Bilzen",3740
631,"Bilzen",3740
632,"Bilzen",3740
633,"Bilzen",3740
634,"Bilzen",3740
635,"Bilzen",3740
636,"Bilzen",3740
637,"Bilzen",3740
638,"Bilzen",3740
639,"Bilzen",3740
640,"Bilzen",3740
641,"Bilzen",3740
642,"Binche",7130
643,"Binche",7130
644,"Binche",7130
645,"Binche",7130
646,"Binche",7130
647,"Binche",7130
648,"Binche",7130
649,"Binche",7130
650,"Binche",7130
651,"Binche",7130
652,"Binche",7130
653,"Binche",7130
654,"Binche",7130
655,"Blankenberge",8370
656,"Blankenberge",8370
657,"Blankenberge",8370
658,"Blankenberge",8370
659,"Blankenberge",8370
660,"Blankenberge",8370
661,"Blankenberge",8370
662,"Blankenberge",8370
663,"Blankenberge",8370
664,"Blegny",4670
665,"Blegny",4670
666,"Blegny",4670
667,"Blegny",4670
668,"Blegny",4670
669,"Blegny",4670
670,"Blegny",4670
671,"Bocholt",3950
672,"Bocholt",3950
673,"Bocholt",3950
674,"Bocholt",3950
675,"Bocholt",3950
676,"Bocholt",3950
677,"Bocholt",3950
678,"Bocholt",3950
679,"Bocholt",3950
680,"Bocholt",3950
681,"Boechout",2530
682,"Boechout",2530
683,"Boechout",2530
684,"Boechout",2530
685,"Boechout",2530
686,"Boechout",2530
687,"Boechout",2530
688,"Boechout",2530
689,"Boechout",2530
690,"Boechout",2530
691,"Bonheiden",2820
692,"Bonheiden",2820
693,"Bonheiden",2820
694,"Bonheiden",2820
695,"Bonheiden",2820
696,"Bonheiden",2820
697,"Bonheiden",2820
698,"Bonheiden",2820
699,"Bonheiden",2820
700,"Bonheiden",2820
701,"Boom",2850
702,"Boom",2850
703,"Boom",2850
704,"Boom",2850
705,"Boom",2850
706,"Boom",2850
707,"Boom",2850
708,"Boom",2850
709,"Boom",2850
710,"Boom",2850
711,"Boom",2850
712,"Boom",2850
713,"Boom",2850
714,"Boom",2850
715,"Boom",2850
716,"Boom",2850
717,"Boom",2850
718,"Boortmeerbeek",3190
719,"Boortmeerbeek",3190
720,"Boortmeerbeek",3190
721,"Boortmeerbeek",3190
722,"Boortmeerbeek",3190
723,"Boortmeerbeek",3190
724,"Boortmeerbeek",3190
725,"Boortmeerbeek",3190
726,"Boortmeerbeek",3190
727,"Boortmeerbeek",3190
728,"Boortmeerbeek",3190
729,"Boortmeerbeek",3190
730,"Boortmeerbeek",3190
731,"Boortmeerbeek",3190
732,"Boortmeerbeek",3190
733,"Bornem",2880
734,"Bornem",2880
735,"Bornem",2880
736,"Bornem",2880
737,"Bornem",2880
738,"Bornem",2880
